#"Step","Potential Energy (kJ/mole)"
6690,-17.1398665867
6700,-16.5885527803
6710,-16.6480942857
6720,-17.1008943822
6730,-18.0474554963
6740,-15.9578894822
6750,-16.5352503249
6760,-16.0841632123
6770,-16.6054940252
6780,-16.6507263033
6790,-15.1788190554
6800,-17.0690846814
6810,-16.7911641988
6820,-16.6617266264
6830,-16.7917343588
6840,-16.1198704169
6850,-17.8191557205
6860,-17.0242361841
6870,-16.3545773427
6880,-17.5228940418
6890,-16.4323532709
6900,-16.3629973338
6910,-15.560581372
6920,-14.168027617
6930,-15.4442183126
6940,-15.1793281058
6950,-15.7419842537
6960,-16.6746077689
6970,-15.7356068537
6980,-18.2675917381
6990,-17.7793703977
7000,-17.403861702
7010,-19.6124349733
7020,-18.7442287725
7030,-18.9136643994
7040,-18.3009151655
7050,-16.9944548628
7060,-18.9070895839
7070,-18.1167795339
7080,-19.1115963155
7090,-20.4307194103
7100,-20.1442604203
7110,-20.5275144732
7120,-18.7843352328
7130,-18.826331694
7140,-18.9698986816
7150,-17.7642251639
7160,-17.5608304363
7170,-17.2618504468
7180,-18.3989075395
7190,-18.7134718337
7200,-18.2478106654
7210,-19.4280281626
7220,-19.4129479008
7230,-19.6057903426
7240,-18.6370647325
7250,-18.06756759
7260,-18.7878223228
7270,-17.187675601
7280,-17.0783827938
7290,-18.1959736795
7300,-18.3188300925
7310,-18.2246875002
7320,-16.8776109105
7330,-17.4719318417
7340,-18.2560943797
7350,-17.2352928195
7360,-16.3442885484
7370,-16.1251654684
7380,-17.4395146784
7390,-17.6292779069
7400,-16.6110656769
7410,-16.5630740674
7420,-17.5510075718
7430,-17.9766882718
7440,-17.409001622
7450,-17.1869501262
7460,-18.0251739541
7470,-18.917962926
7480,-18.6656595452
7490,-18.5683051495
7500,-19.3598814496
7510,-20.2587309629
7520,-19.9001323162
7530,-19.6047704192
7540,-20.38778859
7550,-20.9256203047
7560,-20.6052670473
7570,-19.7824827334
7580,-19.4491535719
7590,-19.1708880071
7600,-18.2289554024
7610,-17.4574486493
7620,-17.3907336213
7630,-17.5649377894
7640,-17.7718935185
7650,-17.8707538291
7660,-18.1157647843
7670,-18.9400643133
7680,-18.959270955
7690,-18.201778526
7700,-17.5554006841
7710,-17.6759688593
7720,-16.5984828414
7730,-15.0355906713
7740,-16.3364972967
7750,-18.8914321962
7760,-20.1851107027
7770,-20.5248783063
7780,-20.3195359838
7790,-20.1703398354
7800,-19.9958601142
7810,-19.788378478
7820,-19.4771138021
7830,-19.1790004256
7840,-18.6768624152
7850,-18.1626667509
7860,-18.0914565991
7870,-18.366285584
7880,-18.1795111248
7890,-18.0086849334
7900,-17.9599428351
7910,-18.3290253884
7920,-18.8060795819
7930,-18.8398516527
7940,-18.5475902298
7950,-18.0259295538
7960,-18.2761036516
7970,-18.3688732224
7980,-17.4177209407
7990,-17.0556864162
8000,-16.5352511691
8010,-16.9953634919
8020,-16.5151478396
8030,-15.2760695464
8040,-15.2100172787
8050,-15.3640260285
8060,-15.0944910729
8070,-14.9694716776
8080,-14.8378997659
8090,-15.2993040336
8100,-15.5735781946
8110,-15.8620180875
8120,-16.6810563344
8130,-17.2851818339
8140,-18.5242460891
8150,-18.9020736303
8160,-19.4109007189
8170,-20.1580861872
8180,-19.8173961093
8190,-19.645960271
8200,-18.7656909188
8210,-17.565429304
8220,-16.6374279467
8230,-14.8547290778
8240,-13.4614674888
8250,-11.7377171511
8260,-10.6208685647
8270,-11.0206544541
8280,-11.6663034148
8290,-13.462586843
8300,-14.8420312656
8310,-16.0666788954
8320,-17.7867507907
8330,-18.4513750355
8340,-18.8333155989
8350,-18.934119979
8360,-19.040377571
8370,-18.832472634
8380,-18.10926434
8390,-17.6048722016
8400,-16.4140061046
8410,-15.8958066224
8420,-15.9498971676
8430,-15.783743379
8440,-16.1888388505
8450,-16.0733253971
8460,-16.2965349567
8470,-16.8111465833
8480,-16.7980493527
8490,-17.5495654332
8500,-17.4813787483
8510,-17.1238250268
8520,-17.9199951218
8530,-17.377327591
8540,-17.5914524972
8550,-16.9891022377
8560,-15.9632565027
8570,-16.2866054671
8580,-15.9464362443
8590,-16.1715230921
8600,-15.2958953789
8610,-14.6352062449
8620,-15.3157853281
8630,-15.1305769086
8640,-16.3849899782
8650,-16.9131265329
8660,-16.3123146346
8670,-17.301363667
8680,-17.9433860007
8690,-19.4255352073
8700,-20.5348841844
8710,-19.0036231848
8720,-18.9800992555
8730,-19.4838958946
8740,-19.7176835245
8750,-19.0209536985
8760,-15.3743124129
8770,-15.3668810656
8780,-16.5825315352
8790,-16.808334558
8800,-16.8928710913
8810,-13.5156291603
8820,-12.7477763292
8830,-11.6809432784
8840,-14.027063659
8850,-15.1246060897
8860,-14.4350112173
8870,-15.1368624658
8880,-14.2598685914
8890,-15.7242397027
8900,-16.0947039197
8910,-15.6518384612
8920,-17.1940558867
8930,-16.6708326174
8940,-19.1729335441
8950,-20.0518485492
8960,-19.8279103929
8970,-20.6358893033
8980,-18.3112524663
8990,-19.1536068555
9000,-20.1190581881
9010,-18.1791212635
9020,-19.3337822589
9030,-17.2598214951
9040,-17.0360633301
9050,-18.3091002683
9060,-17.3740454047
9070,-17.4475408637
9080,-16.9666793444
9090,-16.1874652147
9100,-16.2794077932
9110,-14.8815385587
9120,-16.1186884326
9130,-16.0956719788
9140,-14.5540746804
9150,-14.6932740712
9160,-14.5788721072
9170,-15.181108009
9180,-15.0120863343
9190,-14.280975704
9200,-14.8528048337
9210,-14.3509106573
9220,-14.478940761
9230,-14.5619428078
9240,-14.7744175417
9250,-14.5509148371
9260,-14.0390944777
9270,-14.7000334016
9280,-14.8675741445
9290,-14.8359282239
9300,-14.5000073531
9310,-14.151025899
9320,-14.7470101344
9330,-15.0827318209
9340,-15.1169661212
9350,-15.357478069
9360,-14.9737169359
9370,-15.0048268886
9380,-15.0191686404
9390,-15.047617645
9400,-15.5627910383
9410,-15.1613345838
9420,-15.3450823088
9430,-15.7233317876
9440,-15.7846690812
9450,-16.2104762542
9460,-16.0274293929
9470,-16.1950975179
9480,-16.8167963329
9490,-17.0649053096
9500,-16.955539784
9510,-16.7991206813
9520,-18.1996666365
9530,-18.2048413239
9540,-17.4936686542
9550,-18.3037043357
9560,-18.7444909659
9570,-18.8515660871
9580,-17.4120299258
9590,-17.2022917747
9600,-18.2963261835
9610,-17.5722872014
9620,-17.1772079613
9630,-17.3335116971
9640,-17.6686875504
9650,-18.07810822
